epoch,upstream_bytes,llvm_bytes,iso_bytes,winsdk_bytes,total_bytes
1786729571,516113375,0,0,0,634161653
1786729581,516113375,0,0,0,638257653
1786729591,516113375,0,0,0,645679605
1786729601,516113375,0,0,0,657164789
1786729611,516113375,0,0,0,661506549
1786729621,516113375,0,0,0,665750005
1786729631,516113375,0,0,0,669583861
1786729641,516113375,0,0,0,677038581
1786729651,516113375,0,0,0,687180277
1786729661,516113375,0,0,0,694307317
1786729671,516113375,0,0,0,700008949
1786729681,516113375,0,0,0,704645621
1786729691,516113375,0,0,0,710019573
1786729701,516113375,0,0,0,715426293
1786729711,516113375,0,0,0,732252661
1786729721,516113375,0,0,0,740133365
1786729731,516113375,0,0,0,749996533
1786729741,516113375,0,0,0,755321333
1786729751,516113375,0,0,0,761268725
1786729761,516113375,0,0,0,766462453
1786729771,516113375,0,0,0,772000245
1786729781,516113375,0,0,0,778144245
1786729791,516113375,0,0,0,789039605
1786729801,516113375,0,0,0,798411253
1786729812,516113375,0,0,0,808192501
1786729822,516113375,0,0,0,814549493
1786729832,516113375,0,0,0,822053365
1786729842,516113375,0,0,0,832424437
1786729852,516113375,0,0,0,844286453
1786729862,516113375,0,0,0,852986357
1786729872,516113375,0,0,0,857426421
1786729882,516113375,0,0,0,861506037
1786729892,516113375,0,0,0,866060789
1786729902,516113375,0,0,0,873187829
1786729912,516113375,0,0,0,879102453
1786729922,516113375,0,0,0,886000117
1786729932,516113375,0,0,0,898468341
1786729942,516113375,0,0,0,906725877
1786729952,516113375,0,0,0,914885109
1786729962,516113375,0,0,0,919800309
1786729972,516113375,0,0,0,923929077
1786729982,516113375,0,0,0,927140341
1786729992,516113375,0,0,0,932399605
1786730002,516113375,0,0,0,937478645
1786730012,516113375,0,0,0,941296117
1786730022,516113375,0,0,0,944884213
1786730032,516113375,0,0,0,950389237
1786730042,516113375,0,0,0,956746229
1786730052,516113375,0,0,0,961743349
1786730062,516113375,0,0,0,971901429
1786730072,516113375,0,0,0,979782133
1786730082,516113375,0,0,0,987154933
1786730092,516113375,0,0,0,992299509
1786730102,516113375,0,0,0,999803381
1786730112,516113375,0,0,0,1007815157
1786730123,516113375,0,0,0,1012419061
